Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR25384544,2023-07-22 10:24:54,2023-07-21 14:29:51,382144,181900544,382144,476,60,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384544/SRR25384544.lite.1,SRX21122454,Lucas0115,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388533,SAMN35789482,simple,410658,soil metagenome,LUCAS_115,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,CCC71C9B06A8C1A998C676BB7706AB65,4571796F4699242A7A0157CB08FD4B52
SRR25384543,2023-07-22 10:24:54,2023-07-21 14:29:43,161233,76746908,161233,476,25,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384543/SRR25384543.lite.1,SRX21122455,Lucas0116,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388534,SAMN35789483,simple,410658,soil metagenome,LUCAS_116,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,A58EC2E465B978716D437339C217B075,20A36EF9E4E3294D8814FFB33CE3D7CB
SRR25384542,2023-07-22 10:24:54,2023-07-21 14:29:51,344862,164154312,344862,476,54,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384542/SRR25384542.lite.1,SRX21122456,Lucas0117,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388535,SAMN35789484,simple,410658,soil metagenome,LUCAS_117,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,FC3C3E38369430ECE4B58ADF80F85094,50DFF4B525341576DDA1A54361BF3066
SRR25384541,2023-07-22 10:24:54,2023-07-21 14:29:55,342725,163137100,342725,476,54,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384541/SRR25384541.lite.1,SRX21122457,Lucas0118,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388536,SAMN35789485,simple,410658,soil metagenome,LUCAS_118,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,224C585D5036D19001E9AECFCF7BD97A,CF0FD72730D5DF2261E51CEB9497A9A7
SRR25384540,2023-07-22 10:24:54,2023-07-21 14:29:51,207645,98839020,207645,476,33,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384540/SRR25384540.lite.1,SRX21122458,Lucas0119,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388537,SAMN35789486,simple,410658,soil metagenome,LUCAS_119,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,CD07E0AD06DBA7BF356CBA3688039F61,E6AC82859DFFD70951945A6026BE3BFC
SRR25384539,2023-07-22 10:24:54,2023-07-21 14:29:41,283862,135118312,283862,476,50,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384539/SRR25384539.lite.1,SRX21122459,Lucas0120,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388538,SAMN35789487,simple,410658,soil metagenome,LUCAS_120,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,B9DF1445BA2CE3D8DDFEB0CF2B7A22A7,A659F5122B4999386EDF83919F7589A1
SRR25384538,2023-07-22 10:24:54,2023-07-21 14:30:16,460319,219111844,460319,476,71,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384538/SRR25384538.lite.1,SRX21122460,Lucas0013,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388539,SAMN35789380,simple,410658,soil metagenome,LUCAS_13,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,3D11555C514EBBAC28703B60B2BE5AB1,12A4360BE62BEF05B14873DE19D6DB35
SRR25384537,2023-07-22 10:24:54,2023-07-21 14:30:09,485082,230899032,485082,476,76,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384537/SRR25384537.lite.1,SRX21122461,Lucas0121,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388540,SAMN35789488,simple,410658,soil metagenome,LUCAS_121,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,D60DD3AAABEA096633466F402E48798B,1E7A7CE5FDA6AF25BD67D5608E474BD7
SRR25384536,2023-07-22 10:24:54,2023-07-21 14:29:58,286593,136418268,286593,476,45,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384536/SRR25384536.lite.1,SRX21122462,Lucas0122,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388541,SAMN35789489,simple,410658,soil metagenome,LUCAS_122,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,517A5E85020B340BBAF0489B99A5E3BA,58D5008514AA9F5B5061C625A47E993E
SRR25384535,2023-07-22 10:24:54,2023-07-21 14:30:06,458256,218129856,458256,476,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384535/SRR25384535.lite.1,SRX21122463,Lucas0123,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388542,SAMN35789490,simple,410658,soil metagenome,LUCAS_123,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,678B935B8DA1EB67B440E87B946D93A1,C88995C8057FEABDE2C18869467E8BC6
SRR25384534,2023-07-22 10:24:55,2023-07-21 14:30:08,552497,262988572,552497,476,88,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384534/SRR25384534.lite.1,SRX21122464,Lucas0124,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388543,SAMN35789491,simple,410658,soil metagenome,LUCAS_124,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,57225D363151E2B894B98B4AEECB6904,A3752B197F7EA444EDC88189090413CD
SRR25384533,2023-07-22 10:24:55,2023-07-21 14:30:12,449299,213866324,449299,476,71,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384533/SRR25384533.lite.1,SRX21122465,Lucas0125,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388544,SAMN35789492,simple,410658,soil metagenome,LUCAS_125,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,8A7B5875D83502D35E0D644764AFCD1C,D417D4BCA05550955E7F04E645E2A557
SRR25384532,2023-07-22 10:24:55,2023-07-21 14:30:05,408927,194649252,408927,476,65,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384532/SRR25384532.lite.1,SRX21122466,Lucas0126,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388545,SAMN35789493,simple,410658,soil metagenome,LUCAS_126,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,61B7BB5A60C5F20CB733389049D827F9,D4B25FB989C077782193BB9A626ED099
SRR25384531,2023-07-22 10:24:55,2023-07-21 14:30:00,251212,119576912,251212,476,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384531/SRR25384531.lite.1,SRX21122467,Lucas0127,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388546,SAMN35789494,simple,410658,soil metagenome,LUCAS_127,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,5D8B81F9D11BB6E1D8544565248B7C18,7BB18E07FE40E073921242515E587E83
SRR25384530,2023-07-22 10:24:55,2023-07-21 14:30:12,193463,92088388,193463,476,30,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384530/SRR25384530.lite.1,SRX21122468,Lucas0128,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388547,SAMN35789495,simple,410658,soil metagenome,LUCAS_128,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,AA7FCFFBAD711BDFC15C606BC28D7AB0,FC1D42BB22207D1AC55A8E6AA8223267
SRR25384529,2023-07-22 10:24:55,2023-07-21 14:30:17,463552,220650752,463552,476,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384529/SRR25384529.lite.1,SRX21122469,Lucas0129,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388548,SAMN35789496,simple,410658,soil metagenome,LUCAS_129,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,55858A971C265F80ECA4BA8A48C98CF2,CBF1BE4561F17FCAE7FD606A12E25111
SRR25384528,2023-07-22 10:24:55,2023-07-21 14:30:03,184112,87637312,184112,476,32,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384528/SRR25384528.lite.1,SRX21122470,Lucas0130,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388549,SAMN35789497,simple,410658,soil metagenome,LUCAS_130,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,6929B3B0BD9D38C417AF11E02D9C253D,316AB366735B351375A267C39B84E207
SRR25384527,2023-07-22 10:24:55,2023-07-21 14:30:11,472713,225011388,472713,476,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384527/SRR25384527.lite.1,SRX21122471,Lucas0014,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388550,SAMN35789381,simple,410658,soil metagenome,LUCAS_14,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,174A288A7D4CA427D96EC36903AAAC1E,E3155EDF30635C5A6027C9127D76944F
SRR25384526,2023-07-22 10:24:55,2023-07-21 14:30:18,538359,256258884,538359,476,85,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384526/SRR25384526.lite.1,SRX21122472,Lucas0276,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388551,SAMN35789643,simple,410658,soil metagenome,LUCAS_276,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,3DFAFA640F4A399C185B6C453DD9F7E1,6123CB67932EA56320DC54CE387DC658
SRR25384525,2023-07-22 10:24:55,2023-07-21 14:29:55,558970,266069720,558970,476,90,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384525/SRR25384525.lite.1,SRX21122473,Lucas0277,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388552,SAMN35789644,simple,410658,soil metagenome,LUCAS_277,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,6872AD81A2946D1DD85E853F361CFD8A,A91930534FA5F76CDD25F07A08838AB8
SRR25384524,2023-07-22 10:24:55,2023-07-21 14:29:56,332342,158194792,332342,476,55,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384524/SRR25384524.lite.1,SRX21122474,Lucas0278,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388553,SAMN35789645,simple,410658,soil metagenome,LUCAS_278,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,0EEBAD4E71957332CA66E75913FF2C07,1B68E39EB496E161BF9C9B5E9B3A2ECF
SRR25384523,2023-07-22 10:24:55,2023-07-21 14:29:54,345187,164309012,345187,476,54,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384523/SRR25384523.lite.1,SRX21122475,Lucas0279,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388554,SAMN35789646,simple,410658,soil metagenome,LUCAS_279,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,09825FD9D969C3197F3E3AF6F8D4A2CE,205DD1C5EE1C70876D3141335554EF2B
SRR25384522,2023-07-22 10:24:55,2023-07-21 14:29:51,238433,113494108,238433,476,37,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384522/SRR25384522.lite.1,SRX21122476,Lucas0280,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388555,SAMN35789647,simple,410658,soil metagenome,LUCAS_280,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,0B55072F70B3A6BD4F123889849293B3,4FC79F47B950ED93ACBDFB7DBB6B902B
SRR25384386,2023-07-22 10:24:59,2023-07-21 14:29:57,457997,218006572,457997,476,70,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR025/25384/SRR25384386/SRR25384386.lite.1,SRX21122612,Lucas0070,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP450765,PRJNA985135,,985135,SRS18388691,SAMN35789437,simple,410658,soil metagenome,LUCAS_70,,,,,,,no,,,,,UNIVERSITY OF VIGO,SRA1658246,,public,FA7B63C68F53CDEF78219DE52C18124C,3A2E58C72573A298253D6F0F18288C3F
